"AgeAtScan","Performance.IQ","Verbal.IQ","FullScaleIQ","RGCCAPredAgeAtScan","RGCCAPredPerformance.IQ","RGCCAPredVerbal.IQ","RGCCAPredFullScaleIQ","SiMLRRegPredAgeAtScan","SiMLRRegPredPerformance.IQ","SiMLRRegPredVerbal.IQ","SiMLRRegPredFullScaleIQ","SiMLRCCAPredAgeAtScan","SiMLRCCAPredPerformance.IQ","SiMLRCCAPredVerbal.IQ","SiMLRCCAPredFullScaleIQ"
13.25,89,95,90,14.0076415919334,104.252522262017,107.873832093402,108.601251742969,13.2083552272656,109.991989108018,116.368423325854,114.559215962088,13.7185272820557,101.847021472722,103.809462085574,104.048292715168
12,91,92,90,11.7477776197153,103.312473025205,105.770175164862,103.300512262132,12.8547777701339,103.519905665382,111.335461797646,108.120642612493,11.0740705280635,89.6245346666964,100.561258382279,95.7709633646952
12,110,118,116,12.4765845165596,108.6781519717,107.606031243995,108.320605260085,12.138005055013,106.431945505551,114.948494318447,111.708587541189,11.876633609976,100.522285756814,103.267529711608,102.392142619642
12,96,97,97,10.2915468148196,106.520410645056,102.752351395978,105.23684175356,11.6982518113287,104.993211741867,99.1130059675409,102.252541626122,12.5644093349522,115.803783430041,114.642721841515,117.340479719518
14.25,89,91,95,12.4537665750962,117.088546397584,120.419932319502,122.049414104335,12.5997617525006,107.992741491561,126.513577496294,119.636625231179,13.2397370407485,124.269885194178,119.549108618419,125.470458003874
14.75,90,114,102,13.9957380175724,103.874319638911,113.066696414303,111.253137503015,14.749449713355,107.055072221509,110.88327650351,109.805916752701,13.8898236479397,89.1068178044996,93.6571119961193,90.9713606656798
11.25,106,125,117,9.62556373280269,110.428005510708,113.615589340429,114.072748345119,12.6855544630706,106.928351214432,113.015872096873,111.339250335465,12.4141885328346,111.288506075321,115.506293144799,114.291421820822
8,126,137,136,10.12938284968,113.277404142318,116.688948594057,115.629518822248,12.4535783083285,116.240653564573,119.736403531568,120.062148855223,11.2327026146461,113.202763116324,118.228979202499,119.064877490889
7.25,106.291666666667,109.895833333333,109.270833333333,9.97943361306777,107.820274701256,106.976662664066,107.94058248027,10.4165364410769,99.2706609475337,100.929033316418,100.195414772121,8.58504302579188,99.6222749238729,95.371569007889,96.643964573119
12.25,102,121,113,12.317908406072,120.361918555148,121.557431194251,124.025742971397,12.8035545263676,113.198416907353,114.056947267874,115.500882576337,13.8559776202162,105.017788845302,107.237565005512,107.077646258243
7.5,116,112,116,12.3892607806999,112.583299386549,127.36903218205,123.266657088713,10.8246566310918,118.236793600488,128.941497415653,126.346372619332,9.90067041336974,110.418525990623,111.995805622351,112.579883136862
14.25,102,99,101,11.7902580023112,106.517047824171,111.972110127955,110.006890411315,14.8840003512973,111.58939686792,115.728622851847,116.028632269474,14.1935923869589,114.879930798687,119.667360428632,119.2935006323
9.75,109,104,108,9.84184868427034,97.6898877981306,112.40545866473,106.18654324798,9.30142540192395,101.769665558217,107.381626298349,104.93583377207,10.3946123803841,105.137539351764,107.761727753857,106.802071110822
15.25,115,113,116,12.1358726237005,107.250406659011,103.867311556807,106.506042235711,14.2214646497672,108.300497452473,111.524354377501,111.289371466501,14.8103021917254,101.870077148944,103.076488804746,102.994027178322
17.5,116,112,116,14.4769557143043,103.442438563252,107.747054779354,106.6158073516,15.704004733331,110.094196252499,113.35571644465,113.360838365334,16.48716270306,107.852058283892,111.630032409869,111.426170552479
9.75,107,115,113,12.8194070906145,107.261419368217,115.628066162601,114.122818149924,10.6702707377085,111.106961057711,109.789243971893,112.202326163094,10.8361890504674,106.296899553827,110.605988582201,109.814580510166
11.5,89,106,98,10.6018603022869,109.736147334743,113.553393350153,112.920357073067,10.7944860922868,96.8152860092024,105.427735410135,100.974313449539,9.63065653447303,105.783984883936,110.582116866877,109.622869686606
12.75,120,123,125,12.6547448219573,97.4914330116333,107.456029947041,103.886856292862,10.7076070055485,100.240851903233,107.915954239976,104.874501106904,11.5923443291868,98.9799365374811,101.248735012489,99.6653137585441
8.75,91,101,100,10.6017843715268,108.341288979113,119.713859722537,116.055383230498,9.45237451606539,97.6518024943534,102.829502168479,101.293871234625,10.78535547941,124.980624187875,120.304426672125,125.562403614894
10.75,91,87,87,12.5383046310972,99.4273986809618,107.841271142785,104.62262924735,12.2993093655637,106.995907557997,121.255478194271,115.734726790952,13.384557880274,98.3999227116908,107.039979044881,103.656648270959
13.75,99,98,99,13.3073611008629,101.635366692875,99.9930985206443,99.7489599952649,13.0190636217323,89.9994707619058,106.247190292978,98.5420017097758,13.1027128347665,99.9320752322835,111.586319526845,105.906521900922
10.5,116,120,120,10.0031677681964,116.054311819152,119.293558622538,119.613076164355,9.82558869240444,109.734861930015,107.018219098766,109.854201318239,9.0187859347984,100.267991752648,105.126340367753,103.916958910153
13,104,119,113,13.8471411474,108.315570582142,105.776540519616,106.86168758083,11.8279296392515,103.152731771953,113.610278083761,108.706220336067,13.7488602521623,101.922810005702,111.960483178145,107.466897647652
16,106,109,108,12.4802274316281,107.398767477515,104.962124768632,107.323637008095,14.3207199582518,95.4251386860053,97.3402122389994,96.0597673463989,15.6322054439818,113.791395052059,99.7554458173407,107.709539725077
10.75,104,131,119,11.719222669506,106.815917354561,111.206723311049,109.975988524928,12.5317432309061,106.210799475366,106.556264639554,107.538530729579,12.6465134791284,116.335899324426,116.546847026128,118.698058027401
11.75,84,135,107,13.4596934008375,101.098510973466,110.453313535689,106.353285078362,12.8575370099228,105.0653542394,111.201956112072,108.586942349568,10.9673552673691,104.773239305596,118.147307740604,111.652754775794
7,99,78,87,11.9284773649152,99.9138555740389,110.883372794174,105.720962546748,10.250363483808,100.187068613491,113.107266621621,107.098935274039,8.95903338097349,99.611285541801,110.081406391489,105.175153859927
13.5,106,98,103,12.9636927648655,102.57069976915,110.950537950776,108.005337910895,13.998544380187,104.75721637758,109.645321298483,108.584041974685,13.9304143886425,108.998626649286,109.915420606157,111.383829305412
7.5,106,128,119,11.908301457405,107.418940083892,119.233561432161,114.58345830692,9.75667153235217,99.7707193320093,112.637509593956,107.281534620036,10.5264286264955,107.299874386511,111.270531648738,110.729175636762
13,106,104,106,13.1863417327688,97.0971734303849,102.002705820177,99.8889864120747,14.298208643163,104.628631500382,109.303124231264,108.319008291775,13.7874918021182,112.874654286838,120.31379601741,118.623170475393
9.5,129,137,138,10.6278294754021,106.634605425021,106.712765078879,106.235061475077,11.1426018146214,98.4039128575727,105.477333260473,102.605040695881,11.4067273700523,105.332372521891,102.39513797158,104.355838004917
7.75,105,115,111,11.2595126224044,108.48773910173,115.193146134487,112.868484638879,8.43666580408661,108.025659139341,116.888560060063,113.469675273176,7.43519343874794,105.611763036584,120.849061295284,114.456601945622
16,106,109,109,14.8835808343808,103.649054933712,110.473681886095,109.10789243139,15.8327117243503,108.756460239849,108.103142757928,109.506839423458,15.682950642786,105.493636229106,111.293582947783,109.50077023492
8.75,106,131,120,12.2465177826,108.49291379396,122.456932058247,116.441641623571,9.38517126395096,109.005757136904,123.785263543334,118.220723522586,9.23389415830154,104.535544956004,121.171980568355,114.69972877983
14.75,105,109,108,13.7796692087154,99.4739586755561,109.167169183241,104.769861576059,14.8406856250248,103.106886634413,108.231568487318,106.034492824857,13.0079114608886,117.878136086621,121.032863065652,121.816142320368
13.5,106,110,109,13.3640653629464,111.114681443556,120.094454005421,117.87171992839,10.407615754795,119.733167076601,140.416643035681,132.76168321736,10.066892359205,115.129294655934,135.501638578593,126.948209032815
10.25,109,121,117,10.5036762592931,113.186944732413,114.623768110856,113.516337660451,4.3114164414396,113.540880222176,113.009038237482,114.319664242289,6.80350790988353,114.586209702125,128.073355000944,122.849531221975
12,116,108,113,14.2327497080897,100.222229502274,106.164076558493,104.745627987899,13.2049682388008,105.892639020449,114.323866174289,111.589421031894,12.878380945665,103.859026162429,109.517134077054,107.215283333154
9,112,98,106,10.635652485692,113.455609424201,131.417041098049,124.968843212181,8.46686225051696,104.930620675236,118.421416206525,113.507046041997,8.0454025674069,116.808713648812,120.198264048178,120.604138354317
11.75,79,85,80,12.8459851573181,112.926974388807,116.79870438654,117.345995654097,12.46892757474,109.015620988264,111.767405473317,111.787092672962,10.6249028412747,115.789999155025,113.446142179679,116.554391758629
7.75,119,101,111,11.6369719422058,116.422684105075,130.115357315309,126.920657994997,7.31133596262349,118.229213337159,139.023362620111,131.855798319307,5.55735861796972,124.702928917174,138.485217751939,134.304432861558
10.25,131,151,147,14.2960305319492,104.094910803446,110.194439228844,107.782919075774,11.9898494854564,106.420766645696,110.418725344623,109.940475481183,10.7069171638737,101.795658330141,107.061147223506,106.268850096132
9.25,138,138,143,10.6833620955131,99.898782155078,94.9939783234655,97.5421005670088,13.0042870858749,108.431217861149,96.474367958603,104.157359930954,12.2333488266189,98.1409317804066,91.4435272567944,95.0899214984411
14,109,98,105,10.474248896824,110.638740861844,105.545849539476,109.387531521019,10.4548851624293,114.454453706439,107.84023108648,112.224334720993,10.9033537509832,108.305457840299,104.094034311758,108.216359227235
